Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"National Cheng Kung University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,21,0.04,30.8,0.62,99.799
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,21,0.17,-86.1,0.51,74.699
"Algorithms; Computer Graphics; Surfaces",TC.228,21,0.14,-48.5,0.5,61.178
"Microscopy; Microscopic Examination; Imaging Techniques",TC.602,21,0.21,-69.4,0.95,82.731
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,21,0.12,-71.4,0.39,90.495
"Gambling; Internet; Students",TC.555,21,0.17,156.0,1.42,87.751
"Teachers; Language; Student",TC.265,21,0.11,2.6,1.17,73.36
"Phase Change Materials; Heat Storage; Thermal Energy",TC.1069,21,0.32,-35.1,1.06,83.066
"Genome; Neoplasms; Genes",TC.436,21,0.15,-81.7,0.7,94.043
"Distillation; Optimization; Distillation Columns",TC.427,21,0.31,-60.5,0.62,57.43
"Nanomagnetics; Magnetic Fluids; Nanoparticles",TC.680,21,0.21,-47.8,1.2,88.22
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,21,0.15,-80.0,0.37,60.843
"Thermoelectricity; Thermoelectric Equipment; Thermal Conductivity",TC.619,21,0.2,-63.4,2.35,89.558
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,20,0.09,-37.3,0.91,97.992
"Ionic Liquids; Eutectics; Negative Ions",TC.847,20,0.2,-48.4,1.75,92.102
"Exergy; Heat Pump Systems; Rankine Cycle",TC.271,20,0.1,-8.6,1.32,96.051
"Calcium; Calcium Signaling; Ion Channels",TC.232,20,0.19,-3.8,1.03,78.112
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,20,0.09,-29.3,0.86,93.44
"Acoustic Waves; Musical Instruments; Computer Music",TC.664,19,0.22,-35.1,0.6,40.897
"RNA; Ribosomes; Proteins",TC.171,19,0.11,-77.1,0.78,95.315
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,19,0.15,-43.8,1.22,89.09
"GRACE; Gravitation; Geodetic Satellites",TC.797,19,0.34,24.0,0.75,44.311
"Alcohols; Reward; Cocaine",TC.132,19,0.11,-79.8,0.49,92.771
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,19,0.05,-14.3,1.03,94.578
"Electrodeposition; Composite Coatings; Electroless Plating",TC.503,19,0.3,-76.2,0.64,55.622
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,19,0.07,-5.7,0.77,94.177
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,19,0.26,115.6,1.35,66.934
"Thermoelasticity; Wave Propagation; Heat Conduction",TC.1087,19,0.49,-22.0,0.49,30.589
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,19,0.09,-59.9,0.58,80.054
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,19,0.15,39.2,0.73,62.651
"Solid Oxide Fuel Cells (SOFC); Yttria Stabilized Zirconia; Perovskite",TC.316,18,0.12,-50.3,0.39,91.499
"Holography; Holograms; Computer Generated Holography",TC.335,18,0.14,-68.2,0.27,68.072
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,18,0.18,-45.2,1.18,70.884
"Nursing Homes; Long-Term Care; Caregivers",TC.482,18,0.21,-64.9,0.36,57.095
"Polysaccharides; Glycosylation; Galectin 3",TC.462,18,0.2,179.3,1.29,85.341
"Bioremediation; Biodegradation; Soils",TC.280,18,0.16,-15.3,0.83,86.212
"Ultrashort Pulses; Laser Induced Breakdown Spectroscopy; Ultrafast Lasers",TC.435,18,0.17,-45.8,0.5,76.104
"Candida; Infection; Candida Albicans",TC.115,18,0.09,-6.9,0.92,85.207
"Vehicles; Accident Prevention; Highway Accidents",TC.315,18,0.12,-3.7,0.68,73.695
"Magnetocaloric Effects; Intermetallics; Specific Heat",TC.408,18,0.28,6.2,1.03,60.442
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,18,0.06,-,0.81,93.106
"Boiling Liquids; Heat Transfer; Two Phase Flow",TC.273,18,0.11,-73.3,0.48,82.262
"Construction; Construction Industry; Project Management",TC.295,17,0.1,-17.3,0.69,85.007
"Ligands; Crystal Structure; Organometallics",TC.71,17,0.05,-46.9,0.59,99.331
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,17,0.09,-,0.71,89.625
"Heart Rate; Blood Pressure; Patients",TC.665,17,0.25,-100.0,0.52,61.981
"Ankle; Foot; Diabetic Foot",TC.319,17,0.13,-42.6,0.52,66.801
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,17,0.14,-44.7,1.33,80.187
"Stilbenes; Sirtuin 1; Sirtuins",TC.983,17,0.22,166.5,1.56,82.597
"Network Protocols; Internet Protocols; Mobile Telecommunication Systems",TC.624,17,0.29,603.3,0.63,30.991
"Geographic Information Systems; Maps; Models",TC.515,17,0.19,-80.8,0.57,55.355
"Orchidaceae; New Species; Dendrobium",TC.1258,17,0.6,-59.0,1.06,24.967
"Finite Element Method; Galerkin Methods; Errors",TC.154,17,0.08,40.2,0.28,80.321
"Guided Electromagnetic Wave Propagation; Structural Health Monitoring; Ultrasonic Waves",TC.520,17,0.18,115.3,0.58,60.509
"Lipases; Biocatalysts; Biocatalysis",TC.323,17,0.17,-58.1,1.51,87.082
"Delivery Of Health Care; Patients; Hospitals",TC.160,17,0.08,178.5,1.28,86.078
"Galileo; Astronomy; Mathematics",TC.1403,17,0.78,-18.3,0.12,0.937
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,17,0.08,12.5,0.67,93.373
