Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"World"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019


Topic Cluster,Topic Cluster Number,Scholarly Output,Field-Weighted Citation Impact,Prominence percentile
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,14302,0.73,63.989
"Stomach Neoplasms; Esophageal Neoplasms; Gastrectomy",TC.309,14275,0.85,75.904
"Soldering Alloys; Electronics Packaging; Soldering",TC.292,14248,0.95,68.206
"DNA Methylation; Epigenomics; Neoplasms",TC.478,14232,1.5,91.968
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,14220,0.94,82.396
"Industry; Web Services; Models",TC.327,14188,1.09,72.088
"Fixed Point; Fixed Point Theorem; Metric Space",TC.301,14080,0.86,53.614
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,14075,1.02,81.861
"Phase Equilibria; Binary Mixtures; Equations Of State",TC.135,13993,0.75,85.141
"HIV-1; HIV; HIV Infections",TC.188,13920,1.25,88.755
"Reliability; Maintenance; Reliability Analysis",TC.353,13910,0.86,68.407
"Health; Delivery Of Health Care; Women",TC.424,13877,1.21,76.908
"Violence; Women; Child",TC.310,13855,1.06,78.782
"Solitons; Waves; Nonlinear Equations",TC.235,13824,1.09,72.49
"Iron; Anemia; Erythropoietin",TC.238,13796,0.92,83.133
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,13696,1.65,94.98
"Autophagy; Sirolimus; Neoplasms",TC.627,13664,1.53,92.57
"Students; Teacher; Learning",TC.337,13607,0.93,70.348
"Data Envelopment Analysis; Banks; Efficiency",TC.384,13593,1.01,79.25
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,13593,0.8,71.017
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,13574,0.7,60.843
"Aneurysm; Intracranial Aneurysm; Subarachnoid Hemorrhage",TC.288,13566,0.71,63.855
"Radon; Radioisotopes; Radioactivity",TC.242,13370,0.6,72.959
"Waves; Water Waves; Wave Energy Conversion",TC.284,13344,0.93,75.77
"Women; Erectile Dysfunction; Testosterone",TC.194,13335,1.0,77.443
"Verbs; Language; Semantics",TC.298,13280,0.76,28.179
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,13265,0.98,71.419
"Carnivores; Ungulates; Deer",TC.224,13255,0.96,81.124
"Ankle; Foot; Diabetic Foot",TC.319,13205,0.69,66.801
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,13122,0.62,61.379
"Electric Fault Location; Electric Lines; Electric Power Distribution",TC.407,13108,0.61,56.827
"Roman; Rome; Ancient",TC.114,13038,0.66,11.178
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,12897,0.83,76.305
"Holography; Holograms; Computer Generated Holography",TC.335,12877,0.86,68.072
"Mammaplasty; Free Tissue Flaps; Perforator Flap",TC.321,12838,0.77,62.651
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,12700,1.13,86.145
"Wood; Timber; Wood Products",TC.302,12660,0.7,72.155
"International Law; Human Rights; Responsibility",TC.363,12635,0.8,33.802
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,12625,1.0,77.711
"Coronary Artery Disease; Patients; Echocardiography",TC.268,12623,1.06,76.372
"Blood; Blood Transfusion; Patients",TC.272,12611,1.06,74.297
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,12602,1.18,77.309
"Students; Education; Teaching",TC.542,12552,1.24,74.833
"Cannabinoids; Cannabis; Endocannabinoids",TC.318,12548,1.33,88.42
"Volatile Oils; Antioxidants; Oils",TC.366,12507,1.05,85.542
"Fractional; Fractional Order; Derivatives",TC.522,12464,1.45,75.569
"Gambling; Internet; Students",TC.555,12452,1.51,87.751
"Tides; Ocean; Ocean Currents",TC.252,12448,1.06,79.652
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,12402,0.91,74.699
"Mathematics; Students; Teacher",TC.391,12379,1.05,65.529
"Vehicles; Steering; Tires",TC.494,12366,0.94,65.328
"Migration; Migrant; Immigrant",TC.419,12342,0.94,59.572
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,12315,1.33,89.09
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,12292,1.29,84.739
