Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Instituto Tecnologico de Estudios Superiores de Monterrey"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Arthroplasty; Hip; Knee",TC.123,4,0.02,-,0.28,87.349
"Antennas; Slot Antennas; Microwave Antennas",TC.55,4,0.01,-100.0,0.41,91.031
"Steganography; Watermarking; Digital Watermarking",TC.525,4,0.04,-100.0,0.73,56.693
"Writing; Students; Communication",TC.1102,4,0.1,-9.0,0.53,13.722
"China; Asia; Chinese",TC.495,4,0.04,-12.8,0.38,42.503
"Human Engineering; Ergonomics; Automation",TC.588,4,0.04,-,11.11,56.961
"Melatonin; Circadian Clocks; Circadian Rhythm",TC.396,4,0.05,-,0.83,79.451
"Biofuels; Biomass; Bioenergy",TC.490,4,0.04,-,0.37,81.459
"Library; Librarian; Information",TC.277,4,0.03,22.4,0.28,49.933
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,4,0.06,-,0.82,70.415
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,4,0.02,-,1.38,89.625
"Analgesia; Nerve Block; Bupivacaine",TC.305,4,0.03,-,0.0,64.324
"Irrigation; Wireless Sensor Networks; Sensor Nodes",TC.1295,4,0.09,-100.0,1.49,29.05
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,4,0.02,-100.0,0.41,91.432
"Pulmonary Hypertension; Pulmonary Artery; Patients",TC.492,4,0.05,-,1.2,66.064
"MEMS; Gyroscopes; Resonators",TC.246,4,0.02,6.2,0.39,78.983
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,4,0.03,-,3.18,78.581
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,4,0.01,-100.0,0.42,93.106
"Housing; Neighborhood; Gentrification",TC.281,4,0.03,-,0.2,74.565
"Buildings; Design; Urban Planning",TC.857,3,0.04,-11.6,0.88,59.772
"Ultrashort Pulses; Laser Induced Breakdown Spectroscopy; Ultrafast Lasers",TC.435,3,0.03,-100.0,1.18,76.104
"Schools; Brazil; Education",TC.995,3,0.05,-100.0,0.65,16.867
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,3,0.03,-,0.48,66.667
"Reinforcement Learning; Robots; Artificial Intelligence",TC.988,3,0.06,-,1.14,33.333
"Streptomyces; Actinobacteria; Anti-Bacterial Agents",TC.543,3,0.05,-,0.45,76.707
"Stroke; Patients; Cerebral Hemorrhage",TC.138,3,0.01,-,0.38,89.157
"Water; Water Resources; Water Management",TC.527,3,0.03,-9.3,0.54,79.585
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,3,0.03,-100.0,0.18,72.557
"Airports; Air Transportation; Aircraft",TC.763,3,0.04,-,0.96,48.594
"Membranes; Desalination; Ultrafiltration",TC.223,3,0.02,-23.1,0.14,97.925
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,3,0.02,-,1.48,85.877
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,3,0.02,-100.0,0.14,59.505
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,3,0.02,-,0.35,90.629
"Groundwater; Groundwater Resources; Aquifers",TC.502,3,0.04,-,2.68,62.383
"Art; Aesthetics; Kierkegaard",TC.695,3,0.04,-,0.19,24.23
"Distillation; Optimization; Distillation Columns",TC.427,3,0.04,-,0.82,57.43
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,3,0.03,91.6,0.84,84.203
"Electric Circuit Breakers; Electric Potential; Vacuum",TC.1256,3,0.08,-,0.28,11.981
